year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	integres_places
2020	tb	Concours  A TB BIO	ENSAT Toulouse										5	80.0	20.0	49	48	5
2020	tb	Concours  A TB BIO	Agrocampus Ouest (cursus ingénieur agronome)										4	100.0	0.0	31	37	4
2020	tb	Concours  A TB BIO	Montpellier Sup Agro (cursus agronome)										5	60.0	60.0	46	44	5
2020	tb	Concours  A TB BIO	ENSAIA Nancy										5	80.0	40.0	59	60	5
2020	tb	Concours  A TB BIO	Agrocampus Ouest (cursus ingénieur en horticulture et en paysage)										3	66.7	33.3	65	65	4
2020	tb	Concours  A TB BIO	Agrosup Dijon (Cursus Agroalimentaire)										5	80.0	0.0	60	59	5
2020	tb	Concours  A TB BIO	Bordeaux Sciences Agro										2	100.0	100.0	50	50	2
2020	tb	Concours  A TB BIO	VetAgro Sup Clermont-Ferrand										4	50.0	25.0	80	78	4
2020	tb	Concours  A TB BIO	ONIRIS Nantes Atlantique (cursus agroalimentaire)										6	66.7	33.3	91	88	6
2020	tb	Concours  A TB BIO	Agrosup Dijon (Cursus Agronome) civil										3	33.3	33.3	65	57	3
2020	tb	Concours  A TB BIO	ENGEES Strasbourg Civil (étudiant)										2	50.0	50.0	63	63	3
2020	tb	Concours  A TB BIO	AgroParisTech Grignon										10	50.0	0.0	13	14	10
2020	tb	Concours  A TB BIO	¥Concours A TB BIO	160	60.6	20.6				95	56.8	27.4	54					56
2020	tb	ENSTIB	Lorraine INP-ENSTIB	52	53.8	26.9				33	57.6	36.4	2	50.0	50.0	27	27	2
2020	tb	Concours A TB ENV	VetAgro Sup Lyon										3	33.3	66.7	4	4	3
2020	tb	Concours A TB ENV	ONIRIS Nantes Atlantique (cursus vétérinaire)										3	66.7	66.7	10	10	3
2020	tb	Concours A TB ENV	ENV Alfort										2	50.0	50.0	4	4	2
2020	tb	Concours A TB ENV	ENV Toulouse										2	0.0	0.0	6	6	2
2020	tb	Concours A TB ENV	¥Concours TB ENV	66	65.2	18.2				27	51.9	33.3	10					10
2020	tb	Concours POLYTECH A TB	ENSTBB Bordeaux										2	50.0	0.0	7	7	2
2020	tb	Concours POLYTECH A TB	ESBS Strasbourg										1	0.0	0.0	42	42	2
2020	tb	Concours POLYTECH A TB	ESIAB Brest										2	0.0	50.0	44	44	3
2020	tb	Concours POLYTECH A TB	ESIPE Créteil-Génie Biomédical et santé (ISBS)										0	0.0	0.0	0	0	2
2020	tb	Concours POLYTECH A TB	ESIX Normandie-Caen-Cherbourg										0	0.0	0.0	0	0	1
2020	tb	Concours POLYTECH A TB	ISIFC Besançon-Génie Biomédical										3	33.3	33.3	75	57	2
2020	tb	Concours POLYTECH A TB	Polytech Angers Génie Biologique et Santé										2	100.0	0.0	27	27	1
2020	tb	Concours POLYTECH A TB	Polytech Clermont-Ferrand-Génie Biologique										1	0.0	100.0	24	24	1
2020	tb	Concours POLYTECH A TB	Polytech Grenoble-Technologies de l'information pour la santé										1	100.0	0.0	56	56	1
2020	tb	Concours POLYTECH A TB	Polytech Lille-Génie biologique et alimentaire										1	100.0	0.0	54	54	1
2020	tb	Concours POLYTECH A TB	Polytech Nantes-Génie des Procédés et Bioprocédés										1	0.0	100.0	45	45	1
2020	tb	Concours POLYTECH A TB	Polytech Nice-Sophia-Génie biologique										1	0.0	100.0	13	13	1
2020	tb	Concours POLYTECH A TB	¥Concours POLYTECH A TB	134	59.7	20.1				79	51.9	24.1	15					18
2020	tb	Concours A TB ENS	ENS Paris-Saclay	36	38.9	19.4				2	0.0	50.0	1	0.0	100.0	2	2	2
2020	tb	Groupe INSA	INSA Lyon Biosciences										1	0.0	0.0	1	1	1
2020	tb	Groupe INSA	INSA Toulouse Génie Biologique										1	100.0	0.0	13	13	1
2020	tb	Groupe INSA	ESITech Rouen Technologies du Vivant										1	100.0	0.0	27	27	1
2020	tb	Groupe INSA	ISIS Castres Informatique pour la Santé										0	0.0	0.0	0	0	1
2020	tb	Groupe INSA	¥Concours INSA Domaine¥Biotechnologies-santé TB	60	60.0	21.7				28	60.7	21.4	3					4
